Neighborhood,Total Population,Total Households,Population in Households,Household Size,Population in Group Quarters,Family Households,Non-Family Households,Families with Children,Percent of All Households: Families with Children,0--4,5--9,10--14,15--17,18--19,20--24,25--34,35--44,45--54,55--59,60--64,65--74,75--84,85 Plus,Population,Total units,Occupied units,Vacant units,Percent owner occupied,Person per acre,Acres,Zip Code,Population below poverty level,Median household income,"Non-White, Non-Hispanic or Latino","Hispanic or Latino, of any race",Population with disability,Unemployment,Large households (5+ members),"Homes affordable to people earning less than $50,000","Rentals affordable to people earning less than $25,000",Rent-restricted units,Housing Choice Voucher holders,Median rent,Median home value,Percentage of rental units in poor condition,"Percent change in number of housing units, 2000-2012",Owner units affordable to average retail/service worker,Rental units affordable to average retail/service worker,Rental units affordable to average artist,Owner units affordable to average artist,Rental units affordable to average teacher,Owner units affordable to average teacher,Rental units affordable to average tech worker,Owner units affordable to average tech worker,"Change in percentage of population below poverty, 2000-2012","Change in median rent, 2000-2012","Change in median home value, 2000-2012",Percentage of homes within 1/4-mi of transit stop,Average monthly transportation cost,Percentage of housing and transportation costs that is transportation-related,Majority Age,Neighborhood Size,House Size,Family Percentage,Percent Vacant,Vacancy,Income,Rent,Home Value,Transit Closeness,Transit Cost,Rent Increase,Home Value Increase,Density
EAST CONGRESS,3104,1374,3100,2.3,4,610,764,246,17.9,6.0,4.3,4.4,3.0,1.9,12.5,24.6,13.6,11.9,5.5,4.5,5.4,1.7,0.8,3104,1446,1374,72,50.3,4.0,771.9,78704,21.0,50248.0,7.0,30.0,9.0,7.0,3.0,13.0,12.0,13.0,1.0,940.0,338200.0,0.4,9.0,0.0,11.0,26.0,2.0,76.0,13.0,99.0,33.0,33.0,40.0,126.0,76.0,629.0,33.0,25-34,1374,2.3,17.9,4.979253112033195,4.979253112033195,50248.0,940.0,338200.0,76.0,629.0,40.0,126.0,4.0
EAST OAK HILL,14508,6974,14398,2.1,110,3455,3519,1615,23.2,5.5,5.6,5.6,2.9,1.5,7.2,23.1,14.7,13.7,6.3,4.9,4.4,2.7,1.8,14508,7389,6974,415,40.8,2.9,5042.2,78735,6.0,74571.0,9.0,20.0,7.0,4.0,10.0,8.0,4.0,5.0,1.0,1122.0,379900.0,0.1,64.0,2.0,4.0,7.0,2.0,62.0,5.0,97.0,23.0,96.0,4.0,85.0,9.0,747.0,38.0,25-34,6974,2.1,23.2,5.616456895385031,5.616456895385031,74571.0,1122.0,379900.0,9.0,747.0,4.0,85.0,2.9
FOUR POINTS,6226,3087,6017,1.9,209,1287,1800,686,22.2,5.7,5.9,4.9,2.3,4.1,12.3,25.5,15.0,12.9,4.2,3.1,2.8,1.0,0.3,6226,3339,3087,252,16.0,1.3,4980.6,78730,4.0,119573.0,13.0,5.0,4.0,3.0,9.0,19.0,0.0,0.0,0.0,1106.0,570400.0,0.2,78.0,0.0,0.0,3.0,1.0,64.0,17.0,99.0,25.0,283.0,22.0,44.0,2.0,786.0,34.0,25-34,3087,1.9,22.2,7.547169811320755,7.547169811320755,119573.0,1106.0,570400.0,2.0,786.0,22.0,44.0,1.3
FRANKLIN PARK,16927,4313,16914,3.9,13,3507,806,2226,51.6,11.5,10.2,9.5,5.5,3.6,9.3,17.2,13.5,10.1,3.5,2.5,2.5,1.0,0.1,16927,4507,4313,194,45.0,11.8,1428.5,78744,26.0,41056.0,9.0,77.0,8.0,9.0,23.0,93.0,7.0,24.0,8.0,946.0,108100.0,0.7,35.0,13.0,6.0,22.0,33.0,81.0,87.0,100.0,100.0,89.0,26.0,44.0,63.0,708.0,40.0,25-34,4313,3.9,51.6,4.304415353893943,4.304415353893943,41056.0,946.0,108100.0,63.0,708.0,26.0,44.0,11.8
GALINDO,3512,1745,3489,2.0,23,640,1105,274,15.7,5.4,5.0,4.7,2.5,2.0,8.9,26.8,16.2,12.6,4.8,4.1,3.9,2.4,0.8,3512,1864,1745,119,33.8,8.1,433.5,78704,21.0,50248.0,7.0,30.0,9.0,7.0,3.0,13.0,12.0,13.0,1.0,940.0,338200.0,0.4,9.0,0.0,11.0,26.0,2.0,76.0,13.0,99.0,33.0,33.0,40.0,126.0,76.0,629.0,33.0,25-34,1745,2.0,15.7,6.384120171673819,6.384120171673819,50248.0,940.0,338200.0,76.0,629.0,40.0,126.0,8.1
GARRISON PARK,11748,5083,11725,2.3,23,2637,2446,1124,22.1,6.6,5.5,5.0,2.9,2.0,9.0,23.2,14.4,12.6,5.5,4.4,5.2,3.2,0.7,11748,5581,5083,498,48.7,8.7,1357.8,78745,16.0,49243.0,7.0,40.0,11.0,7.0,6.0,33.0,8.0,7.0,2.0,990.0,166200.0,0.7,21.0,1.0,6.0,24.0,3.0,72.0,29.0,99.0,96.0,73.0,30.0,83.0,76.0,668.0,35.0,25-34,5083,2.3,22.1,8.923132055187242,8.923132055187242,49243.0,990.0,166200.0,76.0,668.0,30.0,83.0,8.7
GATEWAY,1121,748,1121,1.5,0,168,580,52,7.0,4.2,1.6,0.3,0.5,0.5,14.1,48.9,15.1,6.6,3.8,2.5,1.0,0.4,0.4,1121,815,748,67,0.0,2.3,484.7,78759,7.0,65672.0,18.0,11.0,8.0,7.0,2.0,13.0,3.0,1.0,0.0,962.0,307800.0,0.2,1.0,2.0,2.0,18.0,3.0,75.0,13.0,99.0,45.0,60.0,7.0,60.0,28.0,629.0,40.0,25-34,748,1.5,7.0,8.220858895705522,8.220858895705522,65672.0,962.0,307800.0,28.0,629.0,7.0,60.0,2.3
GEORGIA ACRES,8559,3128,8557,2.7,2,1783,1345,1111,35.5,11.8,8.3,6.0,3.2,2.9,11.1,20.9,14.6,11.0,3.8,2.6,2.4,1.2,0.3,8559,3763,3128,635,14.8,12.7,676.2,78753,26.0,39593.0,20.0,60.0,10.0,9.0,16.0,78.0,14.0,17.0,4.0,826.0,134900.0,0.7,19.0,8.0,11.0,40.0,24.0,89.0,75.0,100.0,98.0,128.0,26.0,40.0,59.0,708.0,44.0,25-34,3128,2.7,35.5,16.87483390911507,16.87483390911507,39593.0,826.0,134900.0,59.0,708.0,26.0,40.0,12.7
GOVALLE,4006,1385,3913,2.8,93,837,548,334,24.1,6.6,5.7,5.5,4.1,2.5,6.8,17.0,13.6,12.6,5.2,5.3,8.2,5.1,1.7,4006,1523,1385,138,57.8,4.0,1004.8,78702,33.0,34734.0,18.0,56.0,14.0,11.0,10.0,21.0,41.0,39.0,2.0,766.0,175400.0,2.2,15.0,0.0,39.0,51.0,2.0,80.0,15.0,99.0,67.0,3.0,73.0,207.0,96.0,590.0,39.0,60+,1385,2.8,24.1,9.061063690085359,9.061063690085359,34734.0,766.0,175400.0,96.0,590.0,73.0,207.0,4.0
GRACY WOODS,28220,12659,28021,2.2,199,6564,6095,2977,23.5,7.3,5.4,4.3,2.6,2.1,8.9,24.6,14.8,13.2,5.9,3.9,3.9,2.0,1.1,28220,13330,12659,671,44.2,6.4,4412.6,78758,24.0,41792.0,22.0,46.0,9.0,10.0,10.0,71.0,11.0,9.0,2.0,898.0,144200.0,0.8,4.0,13.0,8.0,32.0,23.0,83.0,69.0,99.0,99.0,128.0,20.0,49.0,75.0,668.0,40.0,25-34,12659,2.2,23.5,5.033758439609903,5.033758439609903,41792.0,898.0,144200.0,75.0,668.0,20.0,49.0,6.4
